PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean number these items , i e. assign a number to each one .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | debate | |Note A : There is some debate about whether the enclosing brackets should be part of the syntax for generator comprehensions .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | debate | |Note A : There is some debate about whether the enclosing brackets should be part of the syntax for generator comprehensions .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | debate | |Note A : There is some debate about whether the enclosing brackets should be part of the syntax for generator comprehensions .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP 279 | accepted| obsolete | Subsequently, PEP 279 was accepted into Python 2.3.|In commenting on PEP 279 's enumerate -LRB- -RRB- function , this PEP 's author offered , `` I 'm quite happy to have it make PEP 281 obsolete . ''
PEP 279 | accepted| obsolete | Subsequently, PEP 279 was accepted into Python 2.3.|On 17 June 2005 , the BDFL concurred with it being obsolete and hereby rejected the PEP .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
