PEP 2 | proposal| feedback | This PEP proposes a transitional state for modules inclusion in a special preview package for the duration of a minor release roughly 18 months prior to full acceptance into the standard library .|If the module ends up graduating into the standard library after + spending a minor release in `` __ preview __ `` , its API may be changed according + to accumulated feedback .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
