PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
PEP 2 | null | discussion | Standards Track PEPs consist of two parts , a design document and a 255,8 255,8 PEP pep number Title pep title Version cvs version string Last Modified cvs date string Version svn version string Last Modified svn date string Author list of authors' real names and optionally, email addrs Discussions To email address Status Draft Active Accepted Deferred Rejected 351,17 351,7 with the PEP author andor PEP editor . | As updates are necessary , the PEP author can check in new versions if they have CVS commit permissions , or can email new PEP versions to the PEP SVN commit permissions , or can email new PEP versions to the PEP editor for committing . | 
